PING 13.232.53.208 (13.232.53.208) 56(84) bytes of data.
64 bytes from 13.232.53.208: icmp_seq=1 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=2 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=3 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=4 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=5 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=6 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=7 ttl=44 time=105 ms
64 bytes from 13.232.53.208: icmp_seq=8 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=9 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=10 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=11 ttl=44 time=105 ms
64 bytes from 13.232.53.208: icmp_seq=12 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=13 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=14 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=15 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=16 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=18 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=19 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=20 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=21 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=22 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=23 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=24 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=25 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=26 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=27 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=28 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=29 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=30 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=31 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=32 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=33 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=34 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=35 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=36 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=37 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=38 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=39 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=40 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=41 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=42 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=43 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=44 ttl=44 time=107 ms
64 bytes from 13.232.53.208: icmp_seq=45 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=46 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=47 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=48 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=49 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=50 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=51 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=52 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=53 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=54 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=55 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=56 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=57 ttl=44 time=113 ms
64 bytes from 13.232.53.208: icmp_seq=58 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=59 ttl=44 time=108 ms
64 bytes from 13.232.53.208: icmp_seq=60 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=61 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=62 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=63 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=64 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=65 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=66 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=67 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=68 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=69 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=70 ttl=44 time=127 ms
64 bytes from 13.232.53.208: icmp_seq=71 ttl=44 time=105 ms
64 bytes from 13.232.53.208: icmp_seq=72 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=73 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=74 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=75 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=76 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=77 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=78 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=79 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=80 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=81 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=82 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=83 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=84 ttl=44 time=104 ms
64 bytes from 13.232.53.208: icmp_seq=85 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=86 ttl=44 time=105 ms
64 bytes from 13.232.53.208: icmp_seq=87 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=88 ttl=44 time=105 ms
64 bytes from 13.232.53.208: icmp_seq=89 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=90 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=91 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=92 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=93 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=94 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=95 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=96 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=97 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=98 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=99 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=100 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=101 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=102 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=103 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=104 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=105 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=106 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=107 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=108 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=109 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=110 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=111 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=112 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=113 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=114 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=115 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=116 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=117 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=118 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=119 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=120 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=121 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=122 ttl=44 time=114 ms
64 bytes from 13.232.53.208: icmp_seq=123 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=124 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=125 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=126 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=127 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=128 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=129 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=130 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=131 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=132 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=133 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=134 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=135 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=136 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=137 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=138 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=139 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=140 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=141 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=142 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=143 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=144 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=145 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=146 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=147 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=148 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=149 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=150 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=151 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=152 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=153 ttl=44 time=109 ms
64 bytes from 13.232.53.208: icmp_seq=154 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=155 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=156 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=157 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=158 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=159 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=160 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=161 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=162 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=163 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=164 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=165 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=166 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=167 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=168 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=169 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=170 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=171 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=172 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=173 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=174 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=175 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=176 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=177 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=178 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=179 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=180 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=181 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=182 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=183 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=184 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=185 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=186 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=187 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=188 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=189 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=190 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=191 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=192 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=193 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=194 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=195 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=196 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=197 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=198 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=199 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=200 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=201 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=202 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=203 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=204 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=205 ttl=44 time=101 ms
